cwe_id,name,type,score,relationship_count
183,Permissive List of Allowed Inputs,base,4.505800000000001,0
187,Partial String Comparison,variant,4.39872,0
184,Incomplete List of Disallowed Inputs,base,4.3888,0
182,Collapse of Data into Unsafe Value,base,4.329000000000001,0
186,Overly Restrictive Regular Expression,base,3.6399999999999997,0
787,Out-of-bounds Write,base,3.302,0
35,Path Traversal: '.../...//',variant,3.24,0
34,Path Traversal: '....//',variant,3.24,0
33,Path Traversal: '....' (Multiple Dot),variant,3.24,0
434,Unrestricted Upload of File with Dangerous Type,base,2.9120000000000004,0
