cwe_id,name,type,score,relationship_count
79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),base,5.031000000000001,0
78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),base,4.472,0
117,Improper Output Neutralization for Logs,base,4.329000000000001,0
22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),base,4.329000000000001,0
613,Insufficient Session Expiration,base,4.329000000000001,0
88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),base,3.6399999999999997,0
41,Improper Resolution of Path Equivalence,Base,3.3119848623210535,0
20,Improper Input Validation,class,2.984,0
93,Improper Neutralization of CRLF Sequences ('CRLF Injection'),Base,2.8839848045516083,0
73,External Control of File Name or Path,base,2.8651999999999997,0
